,PC1,PC2,PC3,cell_type
100.1.007,0.004266399230623748,2.8630892724117016,1.7721466953283016,B
100.1.016,-2.8451111059884138,5.362030143469745,0.06596337224614492,Endothelial
100.1.019,-0.12629259125116374,3.4089544419734423,-1.6233442041599744,Fibroblast
100.1.032,-1.7862768625983256,5.458595887310978,-0.7030395334238364,Epithelial
100.1.036,-2.0181642940117257,3.8052375842024873,-0.055792205559144485,T_CD3
100.1.045,-0.6088780532260827,4.383219260720559,1.5129947176754255,
100.1.048,-1.4447245242654418,3.8494483773793333,-1.3068692805046567,Endothelial
100.1.055,-1.1549635238438454,2.864050170074557,1.850708163044183,B
100.1.059,0.9307238532761837,6.654243918211355,-1.20631682345847,Epithelial
100.10.007,-0.8160366243072841,2.9352506798374787,1.424272980119161,B
100.10.014,-1.3217682711954946,3.111710684479347,-0.48061930378732487,Epithelial
100.10.016,-2.4569054481758856,3.952310877138558,1.7110488074700556,T_CD3
100.10.018,-1.6612834877307812,3.9925197031904407,-0.8390721887235263,Endothelial
100.10.019,-1.3691301237329143,2.0656995957697406,-0.3887899193346908,Endothelial
100.10.028,-1.7429802636546672,4.108480506444988,-0.8797264074639694,Endothelial
100.10.031,-1.169584696303721,2.752906912127159,0.4497347401505498,Fibroblast
100.10.032,-1.752658735198799,4.830657581827237,-1.2788006872944944,Epithelial
100.10.034,-0.5524094521198455,4.399934832632672,-2.050145149779126,Endothelial
100.10.036,-2.4845463150803457,5.04604515352818,-0.0888684481419046,T_CD3
100.10.04,-1.357575588784455,3.10150807202488,0.9558747376702676,B
100.10.042,-0.861781718003399,2.8918068221368456,0.6768118066412291,Endothelial
100.10.043,-1.4094469704147128,4.031439977560171,1.665569204719553,B
100.10.045,-1.1903052072428302,3.5320209083631915,0.08496979889011845,Endothelial
100.10.055,-0.8018632936761718,3.8065428917018473,2.015694113630846,
100.10.061,-2.0314778771598436,4.489175580932606,-0.6085817297769656,Endothelial
100.10.072,-1.9183997582075771,6.434135790286154,-0.6239643719954304,Endothelial
100.10.075,-1.7887171221570988,4.387082517920441,0.11056894029739943,Endothelial
100.10.076,-1.645476353774995,4.030031208982972,-0.3124891565780808,Smooth muscle
100.101.021,-2.0640750829801897,5.230567791398943,-1.5091082031729657,Epithelial
100.102.054,-1.814447487566755,3.192357770160203,-0.6801061559725415,Smooth muscle
100.103.033,-1.953595858676874,3.6308216877807804,1.2932377008598739,B
100.103.054,-2.0275324028329202,4.7831407121646405,-1.1800062203451445,Epithelial
100.105.021,-1.246078173298903,3.74838409101195,-2.21970070044551,Epithelial
100.105.049,-1.3804705238504755,4.057058694038515,-0.8803888827857754,B
100.107.021,-1.0746153066053477,1.9419508756368828,0.5047287599557803,Epithelial
100.107.033,-1.7896490655420383,4.559820102117784,1.703928413340058,B
100.108.054,-0.9640101898086776,3.6542520538061454,-1.5276439298676288,Epithelial
100.11.005,-1.6665585043010505,4.458559627857054,-0.27648615232153345,Smooth muscle
100.11.016,-2.450511322573446,4.373774457505053,0.33178988459785047,Endothelial
100.11.02,-2.1255914054502347,6.62198093675184,0.37860832939654854,Epithelial
100.11.026,-2.3432715451021444,4.995366776315229,0.05993087879960802,T_CD3
100.11.028,-2.5961979209165853,7.476078989308748,-0.9456581437937785,Epithelial
100.11.03,-2.6888419963770156,5.444891640122609,0.013266105009755856,T_CD3
100.11.031,-0.17855132511542654,3.1576677448161634,1.0594317083391118,Epithelial
100.11.036,-1.70667688183759,4.291807232989948,-0.34150015233679437,T_CD3
100.11.04,-1.6305286486793147,4.03172975712514,-1.2352771215394835,Endothelial
100.11.043,-2.0897777402178424,2.793359179298907,1.6683755806154392,Epithelial
100.11.044,-1.599691436337793,1.042913554662567,0.5545779289154409,Endothelial
100.11.045,-0.6610067139720603,2.697213777564804,-1.4904119686261685,Endothelial
100.11.047,-1.4020552909951358,3.51730637419431,-0.6415168164359002,Smooth muscle
100.11.048,-0.636376614415183,3.962916762761691,0.5158140565452634,B
100.11.055,-0.048365543574028974,3.378499763657646,2.331971170298746,B
100.11.057,-2.42241791257305,4.8245868150866045,-0.975094754400208,Epithelial
100.11.075,-1.710567718888834,4.020936283388344,-0.6320691525933364,Endothelial
100.11.076,-2.2744078907134675,3.9877891277978845,0.3296687119918814,Smooth muscle
100.111.054,-2.103441958464102,4.981117024307105,-0.3608460626826794,Epithelial
100.112.033,-0.2505936427160265,2.2208267762514975,-0.6588823046011413,B
100.113.021,-1.0708964092997988,3.045326811722223,-0.9227721728032999,Epithelial
100.12.003,-1.7236765231078142,3.826132990684682,-0.5472339895202303,Endothelial
100.12.004,-1.5143591267816263,4.621948500290182,0.31461565098036137,T_CD3
100.12.007,0.041555446863077744,3.549443343298404,3.1869212926911645,B
100.12.011,-0.8563491222288195,3.15854753661857,-2.0282408821171964,Epithelial
100.12.014,-3.775751003262477,5.386836352947251,-0.1212676592470544,Epithelial
100.12.015,-2.5370955752692574,4.588872719400398,0.9803093008306039,T_CD3
100.12.02,-1.6877024399284646,4.710128597115962,0.774911023168225,Endothelial
100.12.021,-1.9628680445651931,5.216408546981025,-0.34817323575771386,Epithelial
100.12.029,-2.6058220970729327,6.031186012412509,0.29658015259780707,Endothelial
100.12.034,-0.028826108763051,1.8519629394037542,1.3414781107523626,B
100.12.036,-1.6568085156887284,4.708789729167365,0.617702510406164,Epithelial
100.12.037,-1.3777697924948602,4.043060424198471,-0.30359865171333866,T_CD3
100.12.04,-0.655046630038915,3.042466001978904,0.28122170115729395,Endothelial
100.12.041,-3.081289089345427,3.5765395417711288,3.1593961272640483,Endothelial
100.12.043,-0.8406365881760948,3.502308240107937,-0.8573719380476089,Endothelial
100.12.047,-2.8532221765826646,6.680808676164974,0.19084987021949143,Epithelial
100.12.051,-2.33315352825612,3.995630388451986,-0.634857683425585,Smooth muscle
100.12.052,-1.6445120286195656,4.127313593220617,0.5004429469076646,Endothelial
100.12.053,-1.2163743888423677,3.3629514381576207,0.2774798007465338,Endothelial
100.12.054,-1.3418246356625971,3.7668354016932724,-0.7055283668653174,T_CD3
100.12.055,-0.7104689967266449,3.8581088088911253,1.5228576433324272,
100.12.06,-1.538780837626417,3.785470789803827,-0.257083399094462,T_CD3
100.12.062,-1.381058472560963,3.1678565561191236,1.1862377812074363,
100.12.071,-2.095915038992148,4.456113557584594,0.04334735789312389,T_CD3
100.12.076,-1.7135883262107967,3.645494263960277,-0.6076556022226786,Epithelial
100.13.001,-1.9972905851136393,3.4930512664686098,-0.7443544744308431,Endothelial
100.13.002,-1.7009992339351008,1.583221794203029,0.9228682899155339,Endothelial
100.13.016,-2.273469734242757,4.887447747513553,-0.33095126842030376,T_CD3
100.13.024,-0.6078056790515455,3.6020124688686384,0.6229464948095829,Fibroblast
100.13.028,-1.8026369554811446,4.309168195722869,-1.1825409422591107,Endothelial
100.13.03,-2.1004058628904527,4.889933456073846,0.3432782284128493,T_CD3
100.13.031,-1.3149591771577391,3.7589957328391472,0.29207932296102757,B
100.13.033,0.049372370000237614,2.4257124461416364,1.6972579473932126,
100.13.035,-0.9809327490858429,4.945560513588678,2.9700919326659965,B
100.13.037,-2.578912069440899,6.249403723461458,-0.20670972705070223,T_CD3
100.13.04,-2.164133607657968,5.568425222366029,-0.5658052015885107,Endothelial
100.13.041,-0.06823909858756802,1.0785659346465768,1.35591419486946,Endothelial
100.13.048,-1.1020236247152004,3.211950772915225,1.7276991903706138,
100.13.049,-0.9617519370225055,3.619983371449297,1.5661492669837855,
100.13.05,-1.2566560127318633,2.4576947780524,2.8774853565884593,B
100.13.055,-0.48726849992017307,3.4160300546414066,1.1470348160469934,
100.13.071,-0.9627582832319999,3.4590148590453476,-0.2444226497939172,T_CD3
100.13.076,-1.5026096389191914,3.8987164634021707,0.40941772241001273,Smooth muscle
100.14.003,-1.6210840905802104,3.688085373044715,-1.4586560363125107,Smooth muscle
100.14.004,-1.6549917095078976,4.529837390098807,0.11382607926288384,T_CD3
100.14.005,-2.417425891775673,4.941446887637575,-0.23799839743528187,T_CD3
100.14.01,-2.008224001715353,4.575829403076886,-0.04543292030752482,T_CD3
100.14.015,-1.9463195742008255,4.623090410285943,-0.175204291610659,T_CD3
100.14.016,-2.4584559668839767,4.33006163368879,0.1457150934688267,T_CD8A
100.14.027,-2.2205923210438607,4.449234469257468,0.40464976108069195,Endothelial
100.14.029,-2.643698897739018,6.245954363493354,-0.7008530652461122,Epithelial
100.14.03,-1.8264535633092278,4.3501698169118495,0.18549197791534422,T_CD3
100.14.031,-1.0224692782986176,2.7632983121763015,-1.5462463493930634,Fibroblast
100.14.036,-1.694750020468292,4.204368488643956,-0.27965877887390145,T_CD3
100.14.042,-1.0783959558641827,1.9576109703007956,-0.12341437654439542,Fibroblast
100.14.047,-2.446586359995376,3.740683438449669,1.6462222468150625,Endothelial
100.14.049,-0.7620979162540924,2.4608714658197197,0.6107386229487122,B
100.14.051,-1.8358398639675917,4.718486749053511,-0.19881100396664006,Fibroblast
100.14.054,-1.5076925242217611,2.9187268289297434,-1.3832510283011175,Smooth muscle
100.14.057,-1.5482942385298235,5.117106156992439,-1.2945346878636979,Endothelial
100.14.06,-3.0096943704274857,6.582941963804155,-0.20593037570386416,Smooth muscle
100.14.061,-1.800193939047999,3.7417420612065673,-0.21824993220771793,T_CD3
100.14.062,-1.1736627673247255,2.6227756411281566,1.2130523724816022,B
100.14.063,-2.0052638344293947,3.6228142749993513,0.8576423154804882,
100.14.072,-1.5618601906247958,3.712257849652938,2.0633011411918165,Endothelial
100.14.073,-1.520307018716454,3.54786419234631,0.6372260734978243,Endothelial
100.14.074,-0.653498053643282,1.5331711326117272,2.166040370645729,
100.14.075,-1.0914965632028741,3.2384832098487726,-0.5165560478740148,Epithelial
100.15.003,-1.6530816165436697,4.597457735152837,-0.9697489795130049,Smooth muscle
100.15.004,-2.520374220473623,1.4382347396272597,0.3013354026670373,Epithelial
100.15.016,-1.661781657190141,3.4333430527299913,-1.310920693959031,Endothelial
100.15.017,-1.4421897247825033,1.7708209545802738,-1.8093489272328462,Epithelial
100.15.021,-1.779620248535553,3.28824756613459,-0.5306939835142073,Smooth muscle
100.15.023,-0.8862658911481727,3.5043123582729034,-0.10078468898146832,Epithelial
100.15.028,-2.2535859432133605,5.018712477676344,-1.3971320398109324,Epithelial
100.15.03,-2.8393539291303616,5.719947073962381,-0.06727051934508911,T_CD3
100.15.031,-1.1941669091746283,3.812913906157124,2.030598231666575,B
100.15.033,-0.8152979120721433,3.929519712922734,1.797087593512503,
100.15.035,-1.5610437749234256,4.592999004565174,3.5163770968329278,B
100.15.036,-2.240485503598178,5.390553514254391,-0.0712203795864883,T_CD3
100.15.037,-1.5586339224022145,3.8501979083220492,0.7655158013298706,Epithelial
100.15.041,-1.8745453887217272,4.165558689343126,0.2803519343495425,T_CD3
100.15.048,-1.1958473312860367,3.1367997066274897,1.4649665934092504,
100.15.05,-0.7540102512424836,3.7226494495540985,1.5787379713713696,B
100.15.054,-1.75723040320905,4.07443689383133,0.05032809622325612,T_CD3
