"","Marker","CellType"
"1","IGKC","B"
"2","IGHG1","B"
"3","IGHM","B"
"4","CD79A","B"
"5","TCL1A","B"
"6","DERL3","B"
"7","FCRL5","B"
"8","POU2AF1","B"
"9","MS4A1","B"
"10","CD79B","B"
"11","BANK1","B"
"12","IGHG4","B"
"13","CD34","Endothelial"
"14","PLVAP","Endothelial"
"15","ADGRL4","Endothelial"
"16","SOX18","Endothelial"
"17","PTPRB","Endothelial"
"18","RAMP2","Endothelial"
"19","CALCRL","Endothelial"
"20","HSPG2","Endothelial"
"21","GNG11","Endothelial"
"22","LDB2","Endothelial"
"23","PECAM1","Endothelial"
"24","TFF1","Epithelial"
"25","LRP2","Epithelial"
"26","AGR2","Epithelial"
"27","ERBB4","Epithelial"
"28","TTC6","Epithelial"
"29","ESR1","Epithelial"
"30","SPDEF","Epithelial"
"31","KRT19","Epithelial"
"32","TFF3","Epithelial"
"33","PRLR","Epithelial"
"34","TSPAN1","Epithelial"
"35","CLDN4","Epithelial"
"36","FXYD3","Epithelial"
"37","FOXA1","Epithelial"
"38","MYB","Epithelial"
"39","EPCAM","Epithelial"
"40","FGFR1","Epithelial"
"41","CD24","Epithelial"
"42","S100A14","Epithelial"
"43","AZGP1","Epithelial"
"44","AP1M2","Epithelial"
"45","ERBB2","Epithelial"
"46","MUC1","Epithelial"
"47","MLPH","Epithelial"
"48","ERBB3","Epithelial"
"49","GRB7","Epithelial"
"50","PGR","Epithelial"
"51","CD44","Epithelial"
"52","ALDH1A3","Epithelial"
"53","KRT18","Epithelial"
"54","CDH1","Epithelial"
"55","ACTA2","Fibroblast"
"56","TAGLN","Fibroblast"
"57","TPM2","Fibroblast"
"58","DCN","Fibroblast"
"59","LUM","Fibroblast"
"60","COL3A1","Fibroblast"
"61","COL1A2","Fibroblast"
"62","CSRP2","Fibroblast"
"63","MYL9","Fibroblast"
"64","BGN","Fibroblast"
"65","MYLK","Fibroblast"
"66","THY1","Fibroblast"
"67","COL1A1","Fibroblast"
"68","TIMP1","Fibroblast"
"69","EGFR","Hepatocytes"
"70","BICC1","Hepatocytes"
"71","C1QB","Macrophage"
"72","C1QA","Macrophage"
"73","GPNMB","Macrophage"
"74","MSR1","Macrophage"
"75","APOE","Macrophage"
"76","CD68","Macrophage"
"77","HLA-DRA","Macrophage"
"78","FCN1","Monocyte"
"79","S100A8","Monocyte"
"80","LGALS2","Monocyte"
"81","S100A9","Monocyte"
"82","TRDC","NK"
"83","GNLY","NK"
"84","GZMB","NK"
"85","NKG7","NK"
"86","SULF1","Smooth muscle"
"87","FAP","Smooth muscle"
"88","MMP11","Smooth muscle"
"89","CD3D","T"
"90","CD3G","T"
"91","TRAC","T"
"92","IL7R","T"
"93","CD2","T"
"94","CD3E","T"
"95","CD8A","T"
"96","FOXP3","T"
"97","CD4","T"
