"","Marker","CellType"
"1","IGHG1","B"
"2","IGHG4","B"
"3","IGKC","B"
"4","IGHM","B"
"5","CD34","Endothelial"
"6","ADGRL4","Endothelial"
"7","PLVAP","Endothelial"
"8","PTPRB","Endothelial"
"9","RAMP2","Endothelial"
"10","LDB2","Endothelial"
"11","HSPG2","Endothelial"
"12","SOX18","Endothelial"
"13","CALCRL","Endothelial"
"14","GNG11","Endothelial"
"15","PECAM1","Endothelial"
"16","IL3RA","Endothelial"
"17","FOXC1","Endothelial"
"18","ZEB1","Endothelial"
"19","CD36","Endothelial"
"20","TCF4","Endothelial"
"21","NOTCH1","Endothelial"
"22","AGR2","Epithelial"
"23","TFF1","Epithelial"
"24","KRT19","Epithelial"
"25","TFF3","Epithelial"
"26","FGFR1","Epithelial"
"27","FXYD3","Epithelial"
"28","AP1M2","Epithelial"
"29","SPDEF","Epithelial"
"30","EPCAM","Epithelial"
"31","S100A14","Epithelial"
"32","CLDN4","Epithelial"
"33","FASN","Epithelial"
"34","EGFR","Epithelial"
"35","GRB7","Epithelial"
"36","ERBB2","Epithelial"
"37","PGR","Epithelial"
"38","CD44","Epithelial"
"39","CD24","Epithelial"
"40","ALDH1A3","Epithelial"
"41","KRT18","Epithelial"
"42","CDH1","Epithelial"
"43","COL3A1","Fibroblast"
"44","DCN","Fibroblast"
"45","LUM","Fibroblast"
"46","COL1A2","Fibroblast"
"47","BGN","Fibroblast"
"48","ACTA2","Fibroblast"
"49","TPM2","Fibroblast"
"50","TAGLN","Fibroblast"
"51","MMP11","Fibroblast"
"52","FAP","Fibroblast"
"53","THY1","Fibroblast"
"54","SULF1","Fibroblast"
"55","MYLK","Fibroblast"
"56","CDH11","Fibroblast"
"57","IGFBP5","Fibroblast"
"58","COL1A1","Fibroblast"
"59","CSRP2","Fibroblast"
"60","BICC1","Hepatocytes"
"61","PDZK1IP1","Hepatocytes"
"62","CDKN2A","Hepatocytes"
"63","KRT7","Hepatocytes"
"64","C1QB","Macrophage"
"65","C1QA","Macrophage"
"66","GPNMB","Macrophage"
"67","CD163","Macrophage"
"68","MSR1","Macrophage"
"69","APOE","Macrophage"
"70","CD74","Macrophage"
"71","CD68","Macrophage"
"72","TFEC","Macrophage"
"73","CCL3","Macrophage"
"74","FCGR3A","Macrophage"
"75","APOC1","Macrophage"
"76","SPP1","Macrophage"
"77","CD14","Macrophage"
"78","AIF1","Macrophage"
"79","ITGAX","Macrophage"
"80","HLA-DRA","Macrophage"
"81","S100A8","Monocyte"
"82","FCN1","Monocyte"
"83","S100A9","Monocyte"
"84","LGALS2","Monocyte"
"85","TRDC","NK"
"86","NKG7","NK"
"87","IL7R","T"
"88","CD3G","T"
"89","CD3D","T"
"90","CD2","T"
"91","TRAC","T"
"92","CD3E","T"
"93","CD96","T"
"94","CCL5","T"
"95","CD69","T"
"96","CD8A","T"
"97","FOXP3","T"
"98","CD4","T"
